報道発表品目名,１．食料品,２．原料品,３．鉱物性燃料,４．化学製品,５．原料別製品,６．一般機械,７．電気機器,８．輸送用機器,９．その他
1999/01,18990407,23558160,9582464,245542262,329251536,708918036,748731701,992887530,373096643
1999/02,21486987,25423448,10563883,253267411,352493697,802964179,816535701,893963078,416530150
1999/03,19321697,31905441,10629664,303899265,434432667,973736557,1011864828,1005359823,514570287
1999/04,18936607,30375076,12412374,311305183,419356005,879992351,953796401,897354145,500042390
1999/05,18226099,28641856,12165945,277442756,385153298,764550098,860187149,762470382,452260527
1999/06,19576963,29885336,11407777,302283666,435203607,866344756,994245635,917376826,510508852
1999/07,18575775,30849301,10062395,304270885,456662258,897301296,1065223242,901046085,535768979
1999/08,18815391,27620902,15095723,286537773,405957522,754105368,933630142,798419849,496788886
1999/09,22027408,26932529,15659049,288444740,417982688,895614455,1076972713,998506888,528291261
1999/10,20476918,26876597,12420669,311026136,401395402,860632072,1047700336,900783368,551397012
1999/11,20711178,25985834,11341532,294694691,381071542,797727024,972275992,879244697,506421244
1999/12,22109329,29124567,13275230,324168431,451894866,949308372,1083219770,845692097,558408270
2000/01,17917811,23079770,7504112,255558970,315662415,715897078,868853009,871591388,436656701
2000/02,19671520,27000407,14184205,311165566,403011788,882235426,1035270734,923894623,520381945
2000/03,21167501,32974774,13999413,350455728,466187235,1060223252,1204638938,976324353,574090488
2000/04,17660814,28607425,9648260,327552374,417851331,943998591,1126475589,978659394,527347396
2000/05,16546610,28943475,10030616,293006843,416410141,834401455,1021661500,764441122,466018095
2000/06,16879736,31816819,12056437,321375877,452822855,962287666,1192750167,944431915,552805652
2000/07,17415718,28125066,12828975,312198334,433959248,933766474,1165777621,890293495,518839465
2000/08,18354070,30498921,16695971,324675413,434758852,896149336,1143128605,790451667,550145091
2000/09,18433633,30977868,16101658,320363197,434985291,969417307,1296729146,996159292,596012883
2000/10,19504642,30651310,15312049,335452389,417695753,943266147,1197328201,933234405,583796094
2000/11,21099479,30270553,17567770,310729033,406281841,919454168,1181715958,851149674,544802552
2000/12,22116940,32254952,14838242,342127960,468572643,1035269235,1235861573,907560804,572953491
2001/01,16475080,24670710,14157278,276775201,338209368,771160112,934576105,815460794,432442343
2001/02,25018389,31012252,15303151,317698345,405265158,942835093,1027606133,895169690,537489268
2001/03,34564586,37041163,13011339,367109133,472176256,1108003798,1202011615,1061248507,624151174
2001/04,40836509,35411111,13023304,326627019,418209904,941607774,1040686577,949166949,564072716
2001/05,30948455,34823537,17299589,310286181,407828512,804148893,902811897,786789911,520679169
2001/06,36391620,35081761,21721327,308299307,436908966,860660002,996437342,903443759,539757134
2001/07,39629612,35080536,17713425,286698601,438686749,820056585,917409692,947681078,534162867
2001/08,28408382,37311826,14152408,296568547,424382990,767132817,873208592,873800757,515007641
2001/09,40151638,34363681,14139321,306914252,415994988,821224158,960674613,1014410471,555037648
2001/10,22600516,36005599,13908264,319876824,419811053,818714405,908227370,1008123104,526360080
2001/11,25509712,34750885,13966708,301598667,400922708,742396008,888950280,975311682,506172648
2001/12,23466276,35912938,11373418,320338404,454329581,831558965,880739311,902342013,501371751
2002/01,21335222,29576295,14022730,297867832,377552184,677876144,739876147,972450837,428911658
2002/02,21141070,37066200,11984155,324633768,421805495,835055760,849248321,1073785810,446932650
2002/03,25544609,40637243,14746283,369989894,481367220,1018536743,1066432501,1216431480,539381947
2002/04,22885392,41617891,18323690,365638275,457975931,908604581,997542208,1072094295,516127851
2002/05,22049759,40746935,14258122,355235608,471871617,843018392,960527692,960514988,483998187
2002/06,20371019,38840676,13151787,351017756,468649831,896415184,1035338963,1085181055,521473992
2002/07,19912326,36953738,10319864,349679503,482791159,901245204,1007910078,1086020104,501683340
2002/08,19616863,36746675,16308289,338409500,455714132,803758842,982424989,922290539,492855570
2002/09,19604246,35448022,17108118,337810245,446948123,900762350,1038864930,1139859190,513348812
2002/10,22881697,39620537,15185777,359161120,467849079,949492196,1104113021,1148889899,542366184
2002/11,27496630,36447559,14430777,355527266,453574733,925728049,1093624322,1197936123,534945813
2002/12,26277963,37792607,12228449,368702968,488016501,938339972,1048292568,1124267927,523709372
2003/01,19374053,30662477,11577362,328465591,381090716,727082003,831379232,1101528667,410290843
2003/02,19659220,39490120,14160018,376546274,456791082,888836193,956518899,1084688485,488065800
2003/03,21813120,43657040,19345728,408755079,500687310,1029904116,1078510615,1181539064,521922701
2003/04,21104715,42504118,11224227,410701467,470310917,949556232,1062204727,1134674862,506711925
2003/05,20916893,40231134,13459407,363057593,480037224,874244059,1025324631,1006607634,477462674
2003/06,19836347,40025386,13325217,350307543,471187663,884001316,1039474492,1107730379,502561854
2003/07,20245610,42715642,14120890,372297334,510658859,953059460,1090463709,1103317398,536298949
2003/08,21806767,45167875,15681069,374212264,461769582,880038490,1072653073,928157799,530376857
2003/09,20773412,42586796,17373183,382407655,483879192,927169387,1180645844,1247163293,556552139
2003/10,26197830,46174988,15169582,399916014,495440399,982196325,1220438933,1118670341,596279030
2003/11,27026112,40125200,10153561,355475045,446114851,900060366,1117137684,1104863246,546467018
2003/12,27870597,45111416,14329697,402862938,529726248,1028626019,1182433502,1141816048,584948210
2004/01,18936807,40546512,16081273,387656834,440361413,812977616,967865676,1097170108,492620833
2004/02,21736813,49930173,19299429,399865045,478145288,984901192,1094822191,1169405544,549548316
2004/03,23761047,61317567,22042018,446230080,571332357,1154885562,1296617785,1244170713,622056522
2004/04,24855769,55744177,13476093,438317147,536031991,1074095031,1229829263,1143480912,590478213
2004/05,22158101,49308494,17325398,396068947,513055268,951814587,1133504645,1090366000,556066548
2004/06,24134694,48423810,22655656,440020879,569913697,1118020698,1259057086,1186291376,620676916
2004/07,21076658,51189455,15211949,440202092,590560769,1117969024,1250369496,1201419371,619466746
2004/08,19549061,52140297,26760865,435463652,528286938,997526699,1139082703,997017213,589654725
2004/09,23352425,51126980,23123157,442222945,563994196,1088461711,1309685278,1290104142,653732878
2004/10,28239173,52599827,21631753,469632919,565260698,1126298876,1317913723,1236219497,654215070
2004/11,27685655,55774436,17935678,441147147,562937540,1043138300,1182820393,1231244476,592511525
2004/12,27547373,64740746,17205367,484365837,616889681,1136895995,1191697527,1220493284,634729063
2005/01,24374393,46950599,15741407,417708022,484153213,903972260,956369840,1051561075,510578915
2005/02,20364046,52591629,20433022,422454897,537877827,1008922413,1039271150,1187521089,556864630
